X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
	2024-06-10 09:31:37	2024-06-07	CZNC	Citizens & Northern Corp	Shattuck Katherine W	Dir	P - Purchase	$17.15	+109	6,950	+2%	+$1,869				
	2024-06-10 09:17:53	2024-06-06	FF	Futurefuel Corp.	Lyon Charles W.	Chief Commercial Officer	P - Purchase	$4.36	+11,400	11,400	New	+$49,704				
	2024-06-10 09:06:21	2024-06-06	BPRN	Princeton Bancorp, Inc.	Tuchman Martin	Dir, 10%	P - Purchase	$30.00	+1,284	700,000	0%	+$38,520				
M	2024-06-10 09:03:44	2024-05-28	CTCX	Carmell Corp	Shukla Rajiv	COB, CEO, 10%	P - Purchase	$2.57	+4,120	4,322,011	0%	+$10,578				
M	2024-06-10 09:01:34	2024-06-06	GNT	Gamco Natural Resources, Gold & Income Trust	Saba Capital Management, L.P.	10%	P - Purchase	$5.51	+53,936	1,779,079	+3%	+$297,201				
	2024-06-10 09:00:16	2024-06-07	IMMX	Immix Biopharma, Inc.	Rachman Ilya M	CEO, COB	P - Purchase	$2.13	+2,600	1,136,259	0%	+$5,538				
	2024-06-10 09:00:16	2024-06-07	IMMX	Immix Biopharma, Inc.	Morris Gabriel S	CFO	P - Purchase	$2.12	+2,500	580,819	0%	+$5,298				
M	2024-06-10 08:45:41	2024-06-06	HQL	Abrdn Life Sciences Investors	Saba Capital Management, L.P.	10%	P - Purchase	$13.78	+13,361	3,393,469	0%	+$184,081				
	2024-06-10 08:30:11	2024-06-07	ONDS	Ondas Holdings Inc.	Popolo Joseph V	Dir, 10%	P - Purchase	$0.67	+100,000	4,667,489	+2%	+$67,020				
D	2024-06-10 08:23:31	2024-06-06	CZWI	Citizens Community Bancorp Inc.	Bianchi Stephen M	CEO, Pres	P - Purchase	$11.15	+100	121,920	0%	+$1,115				
	2024-06-10 08:00:07	2024-06-07	JMSB	John Marshall Bancorp, Inc.	Kinney Jonathan Craig	Dir	P - Purchase	$16.89	+339	612,248	0%	+$5,725				
	2024-06-10 06:04:49	2024-06-07	REFR	Research Frontiers Inc	Daigle Darryl	Dir, 10%	P - Purchase	$1.74	+4,300	455,945	+1%	+$7,482				
D	2024-06-07 21:45:20	2024-05-29	GNLX	Genelux Corp	Tyree James L	Dir	P - Purchase	$0.00	+6,250	9,710	+181%	+$0				
D	2024-06-07 21:45:18	2024-05-29	GNLX	Genelux Corp	Smither John W	Dir	P - Purchase	$0.00	+6,250	13,170	+90%	+$0				
D	2024-06-07 21:45:16	2024-05-29	GNLX	Genelux Corp	Thomas John	Dir	P - Purchase	$0.00	+2,500	465,960	+1%	+$0				
D	2024-06-07 21:45:08	2024-05-29	GNLX	Genelux Corp	Mirabelli Mary	Dir	P - Purchase	$0.00	+8,000	12,460	+179%	+$0				
D	2024-06-07 21:40:14	2024-05-29	GNLX	Genelux Corp	Yu Yong	VP, Clinical Trial Operations	P - Purchase	$0.00	+2,500	2,500	New	+$0				
D	2024-06-07 21:40:12	2024-05-29	GNLX	Genelux Corp	Zindrick Thomas	Pres, CEO	P - Purchase	$0.00	+200,000	214,651	>999%	+$0				
D	2024-06-07 21:40:10	2024-05-29	GNLX	Genelux Corp	Smalling Ralph	Head of Regulatory	P - Purchase	$0.00	+1,250	13,315	+10%	+$0				
D	2024-06-07 21:40:08	2024-05-29	GNLX	Genelux Corp	Ryder Sean	GC	P - Purchase	$0.00	+10,000	10,572	>999%	+$0				
D	2024-06-07 21:40:05	2024-05-29	GNLX	Genelux Corp	Zak Lourie S.	CFO	P - Purchase	$0.00	+31,250	31,250	New	+$0				
	2024-06-07 21:31:20	2024-06-06	CRTG	Coretec Group Inc.	Hoffman Matthew Leo	CFO, COO	P - Purchase	$0.00	+6,208,242	6,208,242	New	+$26,695				
	2024-06-07 21:30:18	2024-06-06	CRTG	Coretec Group Inc.	Kappers Matthew Joseph	CEO	P - Purchase	$0.00	+8,647,194	8,647,194	New	+$37,183				
DM	2024-06-07 21:09:08	2024-06-05	OXY	Occidental Petroleum Corp /De/	Berkshire Hathaway Inc	10%	P - Purchase	$59.75	+2,565,477	250,668,502	+1%	+$153,292,504				
D	2024-06-07 21:06:13	2024-06-06	PFHO	Pacific Health Care Organization Inc	Kubota Tom	CEO, Pres, 10%	P - Purchase	$0.83	+16,000	8,382,731	0%	+$13,274				
M	2024-06-07 18:15:54	2024-06-05	BOC	Boston Omaha Corp	Peterson Adam K	CEO, 10%	P - Purchase	$14.17	+42,900	6,735,818	+1%	+$607,849				
	2024-06-07 18:05:13	2024-06-05	INBX	Inhibrx Biosciences, Inc.	Kayyem Jon Faiz	Dir	P - Purchase	$17.32	+57,549	1,150,410	+5%	+$997,024				
M	2024-06-07 17:43:19	2024-06-05	BDCO	Blue Dolphin Energy Co	Carroll Jonathan P	CEO, Pres, 10%	P - Purchase	$3.80	+200	4,002,279	0%	+$759				
M	2024-06-07 17:41:21	2024-06-06	RKT	Rocket Companies, Inc.	Rizik Matthew	Dir	P - Purchase	$14.34	+602	703,727	0%	+$8,630				
	2024-06-07 17:35:57	2024-06-06	PDYN	Palladyne Ai Corp.	Weibling Dennis M	Dir	P - Purchase	$1.79	+12,500	739,882	+2%	+$22,401				
DM	2024-06-07 17:07:57	2024-06-05	BSBK	Bogota Financial Corp.	Pace Kevin	Pres, CEO	P - Purchase	$6.70	+112	54,766	0%	+$751				
	2024-06-07 17:00:34	2024-06-05	STCN	Steel Connect, Inc.	Steel Partners Holdings L.P.	Dir, 10%	P - Purchase	$10.50	+1,323	3,027,893	0%	+$13,889				
M	2024-06-07 16:54:07	2024-06-05	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	$22.79	+54,335	2,205,862	+3%	+$1,238,429				
	2024-06-07 16:44:22	2024-06-07	TCPC	Blackrock Tcp Capital Corp.	Petro Andrea	Dir	P - Purchase	$11.49	+5,000	11,823	+73%	+$57,450				
	2024-06-07 16:43:17	2024-06-06	TCPC	Blackrock Tcp Capital Corp.	Leets Karen L	Dir	P - Purchase	$11.49	+4,380	4,380	New	+$50,326				
	2024-06-07 16:38:00	2024-06-07	ATSG	Air Transport Services Group, Inc.	Berger Michael L	CEO	P - Purchase	$12.47	+3,996	103,705	+4%	+$49,830				
	2024-06-07 16:33:40	2024-06-06	CIVB	Civista Bancshares, Inc.	Perfect Clyde A Jr	Subsidiary Director	P - Purchase	$14.25	+3,512	8,397	+72%	+$50,046				
	2024-06-07 16:32:26	2024-06-07	SPTN	Spartannash Co	Macpherson Kerrie D.	Dir	P - Purchase	$19.45	+1,000	4,739	+27%	+$19,450				
M	2024-06-07 16:30:08	2024-06-05	LSBK	Lake Shore Bancorp, Inc.	Segarra Ann M	Dir	P - Purchase	$12.95	+21,800	21,931	>999%	+$282,272				
	2024-06-07 16:29:51	2024-06-05	TVGN	Tevogen Bio Holdings Inc.	Saadi Ryan H.	CEO, 10%	P - Purchase	$0.77	+2,607	118,446,583	0%	+$2,000				
M	2024-06-07 16:22:12	2024-06-05	WNEB	Western New England Bancorp, Inc.	Goncalves Filipe B	SVP, CCO	P - Purchase	$6.61	+720	8,789	+9%	+$4,756				
	2024-06-07 16:20:19	2024-06-06	F	Ford Motor Co	Thornton John L	Dir	P - Purchase	$12.08	+24,790	389,576	+7%	+$299,463				
D	2024-06-07 16:19:22	2024-06-06	AIRI	Air Industries Group	Melluzzo Luciano M	Pres	P - Purchase	$3.64	+11,082	21,082	+111%	+$40,283				
D	2024-06-07 16:14:31	2024-06-07	ATSG	Air Transport Services Group, Inc.	Hete Joseph C	Exec COB	P - Purchase	$12.81	+5,000	594,302	+1%	+$64,058				
	2024-06-07 16:06:22	2024-06-06	SYPR	Sypris Solutions Inc	Convis Gary L	Dir	P - Purchase	$1.64	+10	406,376	0%	+$16				
M	2024-06-07 16:05:22	2024-06-05	EZFL	Ezfill Holdings Inc	Farkas Michael D	10%	P - Purchase	$2.10	+10,000	1,244,731	+1%	+$20,985				
	2024-06-07 16:05:15	2024-06-06	BY	Byline Bancorp, Inc.	Kent Steven P.	Dir	P - Purchase	$22.44	+250	86,250	0%	+$5,610				
	2024-06-07 16:05:13	2024-06-05	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	$45.37	+200,000	14,824,198	+1%	+$9,073,080				
M	2024-06-07 16:05:05	2024-06-04	JMSB	John Marshall Bancorp, Inc.	Kinney Jonathan Craig	Dir	P - Purchase	$16.80	+261	611,909	0%	+$4,385				
	2024-06-07 16:03:02	2024-06-07	SLNG	Stabilis Solutions, Inc.	Puhala Andrew Lewis	CFO	P - Purchase	$4.15	+1,000	33,618	+3%	+$4,150				
	2024-06-07 16:02:24	2024-06-06	HBIO	Harvard Bioscience Inc	Green James W	CEO	P - Purchase	$3.07	+20,000	3,101,091	+1%	+$61,400				
M	2024-06-07 16:01:04	2024-06-03	FPAY	Flexshopper, Inc.	Dvorkin Howard	Dir, 10%	P - Purchase	$1.10	+75,346	4,319,845	+2%	+$83,112				
D	2024-06-07 15:43:53	2024-06-05	LNKB	Linkbancorp, Inc.	Lundblad Carl D	Pres	P - Purchase	$6.33	+12,671	79,307	+19%	+$80,159				
	2024-06-07 15:37:12	2024-06-06	GRNT	Granite Ridge Resources, Inc.	Darden Thaddeus	Dir	P - Purchase	$6.29	+3,000	251,740	+1%	+$18,870				
	2024-06-07 14:44:59	2024-06-06	FFIN	First Financial Bankshares Inc	Denny Michael B.	Dir	P - Purchase	$28.89	+3,500	108,085	+3%	+$101,115				
	2024-06-07 14:08:43	2024-06-07	ULBI	Ultralife Corp	Goddard Janie	Dir	P - Purchase	$10.91	+1,397	4,381	+47%	+$15,241				
D	2024-06-07 13:09:16	2024-06-06	CFFN	Capitol Federal Financial, Inc.	Johnson Jeffrey M	Dir	P - Purchase	$5.12	+10,000	97,900	+11%	+$51,184				
	2024-06-07 12:24:19	2024-06-07	ANIX	Anixa Biosciences Inc	Catelani Michael	Pres, COO, CFO	P - Purchase	$2.40	+6,250	35,211	+22%	+$15,000				
	2024-06-07 11:14:39	2024-06-06	FXNC	First National Corp /va/	Wilkins III James R	Dir	P - Purchase	$15.50	+11	6,835	0%	+$171				
	2024-06-07 10:57:50	2024-06-07	ANIX	Anixa Biosciences Inc	Kumar Amit	CEO	P - Purchase	$2.41	+25,000	516,925	+5%	+$60,250				
	2024-06-07 10:01:53	2024-06-06	RCG	Renn Fund, Inc.	Stahl Murray	Pres, CEO	P - Purchase	$1.61	+59	558,997	0%	+$95				
	2024-06-07 10:01:31	2024-06-05	FRAF	Franklin Financial Services Corp /pa/	Hollar Mark R	CFO	P - Purchase	$25.90	+100	11,364	+1%	+$2,590				
	2024-06-07 09:59:03	2024-06-05	FRAF	Franklin Financial Services Corp /pa/	Henry Timothy G	CEO	P - Purchase	$25.90	+2,000	21,020	+11%	+$51,800				
